,,,50% Median Rents by Apartment Size,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,Studio,1 Bed,2 Bed,3 Bed,4 Bed,,,,,,,,,,,,,1099
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
state,cbsasub18,areaname18,rent50_0,rent50_1,rent50_2,rent50_3,rent50_4,,state_alpha,,pop2010,hu2010,cntyname,name,,,,,,
2,NCNTY02261N02261,"Valdez-Cordova Census Area, AK",894,961,1278,1602,1967,,AK,Alaska,9636,6102,Valdez-Cordova Census Area,Valdez-Cordova Census Area,,#REF!,#REF!,#REF!,#REF!,FALSE
2,NCNTY02275N02275,"Wrangell City and Borough, AK",750,755,1004,1276,1545,,AK,Alaska,2369,1428,Wrangell City and Borough,Wrangell City and Borough,,#REF!,#REF!,#REF!,#REF!,FALSE
2,NCNTY02282N02282,"Yakutat City and Borough, AK",843,887,1180,1479,1816,,AK,Alaska,662,450,Yakutat City and Borough,Yakutat City and Borough,,#REF!,#REF!,#REF!,#REF!,FALSE
2,NCNTY02290N02290,"Yukon-Koyukuk Census Area, AK",653,658,841,1101,1481,,AK,Alaska,5588,4038,Yukon-Koyukuk Census Area,Yukon-Koyukuk Census Area,,#REF!,#REF!,#REF!,#REF!,FALSE
60,NCNTY60999N60999,American Samoa,553,556,740,1076,1135,,AS,American Samoa,55519,10963,American Samoa,American Samoa,,#REF!,#REF!,#REF!,#REF!,FALSE
4,METRO22380M22380,"Flagstaff, AZ MSA",835,982,1206,1545,1836,,AZ,Arizona,134421,63321,Coconino County,Coconino County,,#REF!,#REF!,#REF!,#REF!,FALSE
4,METRO29420M29420,"Lake Havasu City-Kingman, AZ MSA",594,659,839,1205,1331,,AZ,Arizona,200186,110911,Mohave County,Mohave County,,#REF!,#REF!,#REF!,#REF!,FALSE
4,METRO38060M38060,"Phoenix-Mesa-Scottsdale, AZ MSA",730,870,1082,1574,1813,,AZ,Arizona,4192887,1798501,Maricopa County,Maricopa County,,#REF!,#REF!,#REF!,#REF!,FALSE
4,METRO39140M39140,"Prescott, AZ MSA",706,711,945,1348,1352,,AZ,Arizona,211033,110432,Yavapai County,Yavapai County,,#REF!,#REF!,#REF!,#REF!,FALSE
4,METRO43420M43420,"Sierra Vista-Douglas, AZ MSA",675,679,852,1239,1501,,AZ,Arizona,131346,59041,Cochise County,Cochise County,,#REF!,#REF!,#REF!,#REF!,FALSE
4,METRO46060M46060,"Tucson, AZ MSA",579,682,907,1319,1554,,AZ,Arizona,980263,440909,Pima County,Pima County,,#REF!,#REF!,#REF!,#REF!,FALSE
